Description,Code,Number of jobs (thousand),Median annual pay
   Construction operatives n.e.c.,8159,82,30237
"  Production, Factory and Assembly Supervisors ",816,24,35092
"   Production, factory and assembly supervisors",8160,24,35092
 Transport and mobile machine drivers and operatives,82,663,33960
  Road Transport Drivers,821,535,32735
   Large goods vehicle drivers,8211,204,39141
   Bus and coach drivers,8212,83,33947
   Taxi and cab drivers and chauffeurs,8213,x,x
   Delivery drivers and couriers,8214,126,24627
   Driving instructors,8215,x,x
   Road transport drivers n.e.c.,8219,112,28725
  Mobile Machine Drivers and Operatives,822,64,35679
   Crane drivers,8221,7,46392
   Fork-lift truck drivers,8222,19,31016
   Mobile machine drivers and operatives n.e.c.,8229,38,36408
  Other Drivers and Transport Operatives,823,65,53296
   Train and tram drivers,8231,26,76176
   Marine and waterways transport operatives,8232,x,39405
   Air transport operatives,8233,14,32376
   Rail transport operatives,8234,15,56925
   Other drivers and transport operatives n.e.c.,8239,7,32066
Elementary occupations,9,2177,19087
 Elementary trades and related occupations,91,215,26716
  Elementary Agricultural Occupations,911,41,26424
   Farm workers,9111,25,x
   Forestry and related workers,9112,x,x
   Fishing and other elementary agriculture occupations n.e.c.,9119,x,x
  Elementary Construction Occupations,912,58,29124
   Groundworkers,9121,13,37849
   Elementary construction occupations n.e.c.,9129,45,26723
  Elementary Process Plant Occupations,913,116,26221
   Industrial cleaning process occupations,9131,14,26236
"   Packers, bottlers, canners and fillers",9132,61,25087
   Elementary process plant occupations n.e.c.,9139,41,28600
 Elementary administration and service occupations,92,1962,17287
  Elementary Administration Occupations,921,139,28824
"   Postal workers, mail sorters and messengers",9211,116,29761
   Elementary administration occupations n.e.c.,9219,23,23005
  Elementary Cleaning Occupations,922,469,12787
   Window cleaners,9221,x,25002
   Street cleaners,9222,4,26330
   Cleaners and domestics,9223,411,11852
"   Launderers, dry cleaners and pressers",9224,13,20464
   Refuse and salvage occupations,9225,22,27576
   Vehicle valeters and cleaners,9226,14,24875
   Elementary cleaning occupations n.e.c.,9229,x,25688
  Elementary Security Occupations,923,179,x
   Security guards and related occupations,9231,93,30819
   School midday and crossing patrol occupations,9232,67,4263
   Exam invigilators,9233,19,1902
  Elementary Sales Occupations,924,20,13977
   Shelf fillers,9241,14,15809
   Elementary sales occupations n.e.c.,9249,6,x
  Elementary Storage Occupations,925,503,26792
   Elementary storage supervisors,9251,28,30480
   Warehouse operatives,9252,449,26574
   Delivery operatives,9253,19,25541
   Elementary storage occupations n.e.c.,9259,6,31589
  Other Elementary Services Occupations,926,653,11382
   Bar and catering supervisors,9261,31,22552
   Hospital porters,9262,6,27988
   Kitchen and catering assistants,9263,322,11840
   Waiters and waitresses,9264,146,10000
   Bar staff,9265,84,9166
   Coffee shop workers,9266,16,12170
   Leisure and theme park attendants,9267,37,x
   Other elementary services occupations n.e.c.,9269,11,x
